Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Gift of Sony Pictures Entertainment,,1,,,1
Gift of Sordo Madaleno Arquitectos,,4,,,4
Gift of Steven and Susan Spungen Kasher,2,,,,2
Gift of Strand Releasing,,1,,,1
Gift of Susan and Peter MacGill,,14,,,14
Gift of Susan and Peter MacGill in honor of Gayle Greenhill,,8,,,8
Gift of the Andy Warhol Foundation,,1,,,1
Gift of the architect,,83,,,83
Gift of the architect in honor of Philip Johnson,,1,,,1
Gift of the artist,14,27,,,41
Gift of the artist and Galerie Buchholz,3,,,,3
Gift of the artist and Matthew Marks Gallery,,1,,,1
Gift of the artist in honor of Agnes Gund,10,,,,10
Gift of the artist through the Latin American and Caribbean Fund,,1,,,1
"Gift of the artist, Tracy Williams Ltd and Beyer Projects",1,,,,1
Gift of the Artists,,1,,,1
Gift of the Contemporary Arts Council of the Museum of Modern Art,,1,,,1
Gift of the Danjuma Collection,2,,,,2
Gift of the designer,16,40,,,56
Gift of the designers,,,1,,1
Gift of The Eileen and Michael Cohen Collection,,2,,,2
Gift of the Estate of Fred W. McDarrah,,18,,,18
"Gift of The Ian Woodner Family Collection, bequest of Richard S. Zeisler, and gift of Thomas McCray (all by exchange)",1,,,,1
"Gift of the International Council of The Museum of Modern Art, Agnes Gund, Ronald S. and Jo Carole Lauder, and Sharon Percy Rockefeller, in honor of the 60th Anniversary of the International Council",1,,,,1
Gift of the Juan Ignacio Baixas Archive,,68,,,68
Gift of the LeWitt Family in honor of Sarah-Ann and Werner H. Kramarsky,,21,,,21
Gift of the Library Council of The Museum of Modern Art,3,,,,3
Gift of the Podesta Collection,,3,,,3
Gift of The Riklis Collection of McCrory Corporation (by exchange) and The Modern Women's Fund,1,,,,1
"Gift of the Scott Burton Fund, Jo Carole and Ronald S. Lauder, and the Contemporary Arts Council of The Museum of Modern Art",1,,,,1
Gift of the Steven and Alexandra Cohen Foundation and Jo Carole and Ronald S. Lauder,,1,,,1
"Gift of the Steven and Alexandra Cohen Foundation, The Broad Art Foundation, and Jill and Peter Kraus",,1,,,1
Gift of the Teodoro González de León Archive,,19,,,19
Gift of the XIX Olympics Committee,,3,20,,23
Gift of Warner Bros.,,5,,,5
John B. Turner Fund,2,4,,,6
John Turner Fund,1,,,,1
Latin American and Caribbean Fund,1,64,3,,68
Latin American and Caribbean Fund through gift of Ricardo Steinbruch,1,,,,1
Monroe Wheeler Fund,,5,,,5
Paul C. Kovi Fund,,1,,,1
Purchase,1,1,,,2
Purchase from Anna Sanders Films,4,15,,,19
Purchase from Artists Public Domain,1,,,,1
Purchase from Gosfilmofund. Acquired in memory of George Gund,1,2,,,3
Purchase from MK2,,1,,,1
Purchase from the Artist,1,6,,,7
Purchase from The Film Desk,,1,,,1
Riva Castleman Endowment Fund,,1,,,1
Riva Castleman Fund,,1,,,1
Sam A. Lewisohn Bequest (by exchange),,1,,,1
Speyer Family Foundation,1,,,,1
The Family of Man Fund,,10,10,,20
The Judith Rothschild Foundation Contemporary Drawings Collection Gift (by exchange),,2,,,2
The Michael H. Dunn Memorial Fund,,1,,,1
The Modern Women's Fund,1,,,,1
The Modern Women's Fund and Committee on Photography Fund,13,,,,13
"The Museum of Modern Art, New York. Gift of the artist in honor of Harald Szeemann (in exchange for Circuit II, gift of Enid A. Haupt and S. I. Newhouse, Jr.)",,1,,,1
The Photography Council Fund and Committee on Media and Performance Art Funds,,2,,,2
The Sue and Edgar Wachenheim III Endowment,,39,,,39
"Vital Projects Fund, Robert B. Menschel",,32,,,32
(blank),,5,,,5
2015,459,2793,250,,3502
"Acquired through the generosity of Alice and Tom Tisch, Robert Beyer, Barbara Jakobson, Committee on Drawings and Prints Fund and Committee on Architecture and Design Funds",,1,,,1
Acquired through the generosity of Anne and Joel Ehrenkranz,,3,,,3
Acquired through the generosity of Bernard I. Lumpkin and Carmine D. Bocuzzi in honor of Cerrie Bamford and the Friends of Education of The Museum of Modern Art,1,,,,1
Acquired through the generosity of Daniel W. Dietrich II,,1,,,1
Acquired through the generosity of David Dechman and Michel Mercure,,1,,,1
Acquired through the generosity of Ilona Nemeth,1,,,,1
"Acquired through the generosity of Jo Carole and Ronald S. Lauder, and Jon L. Stryker",,10,,,10
"Acquired through the generosity of John Baldessari, Catie and Donald Marron, and Mary M. and Sash A. Spencer",74,236,,,310
"Acquired through the generosity of José Olympio da Veiga Pereira, and Alfredo Setubal through the Latin American and Caribbean Fund",,,1,,1
Acquired through the generosity of Maja Oeri and Hans Bodenmann in honor of David Rockefeller,,1,,,1
Acquired through the generosity of Maja Oeri in honor of Kathy Halbreich,,1,,,1
Acquired through the generosity of Mary M. and Sash A. Spencer,5,13,,,18
Acquired through the generosity of Pedro Barbosa,,,1,,1
"Acquired through the generosity of Pedro Barbosa and Patricia Moraes, Luis Augusto Teixeira de Freitas, Mr. and Mrs. John Austin, Mr. and Mrs. Peter Klimt, and Roberto Lima",,1,,,1
Acquired through the generosity of Peter H. Friedland,,1,,,1
"Acquired through the generosity of Ralph Goldenberg, Donald B. Marron, and Dian Woodner in honor of The Friends of Education of The Museum of Modern Art",1,,,,1
Acquired through the generosity of Richard Gerrig and Timothy Peterson,,1,,,1
Acquired through the generosity of Richard O. Rieger,,1,,,1
Acquired through the generosity of Robert B. Menschel,1,,,,1
"Acquired through the generosity of Ronald S. and Jo Carole Lauder, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Catie and Donald Marron, Sue and Edgar Wachenheim III, and Committee on Drawings and Prints Fund,  in honor of Herman J. Daled and Nicole Daled-Verstraeten",,1,,,1
Acquired through the generosity of Steven A. Cohen,,2,,,2
Acquired through the generosity of The Contemporary Arts Council of The Museum of Modern Art,1,,,,1
Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art in honor of Chris Apgar,1,,,,1
"Acquired through the generosity of the Contemporary Arts Council of The Museum of Modern Art, Committee on Drawings and Prints Fund and Lonti Ebers",,1,,,1
Acquired through the generosity of The Contemporary Drawing and Print Associates of The Museum of Modern Art in memory of Riva Castleman,7,1,,,8
"Acquired through the generosity of The Contemporary Drawing and Print Associates of The Museum of Modern Art, Marie-Josée and Henry R. Kravis, Jerry I. Speyer and Katherine Farley, The International Council of The Museum of Modern Art, Kathy and Richard S. Fuld, Jr., Agnes Gund, Marlene Hess and James D. Zirin, Donald B. Marron, Sue and Edgar Wachenheim III, Carol and Morton Rapp, Linda Goldstein, Leslie J. Garfield, and Susan and Glenn Lowry in memory of Riva Castleman",,1,,,1
Acquired through the generosity of the family of August Sander,,669,,,669
Acquired through the generosity of The Friends of Education of The Museum of Modern Art,,1,,,1
"Acquired through the generosity of The Modern Women's Fund, and the Fuhrman Family Foundation",1,,,,1
Acquired through the generosity of Thomas and Susan Dunn,,6,,,6
Acquired through the generosity of Thomas and Susan Dunn and gift of Michael Mattis and Judith Hochberg,,9,,,9
Acquired through the generostity of Agnes Gund,,1,,,1
Acquired through the Lillie P. Bliss Bequest (by exchange),,1,,,1
Acquired with support from The Modern Women's Fund,1,,,,1
Agnes Rindge Claflin Fund,,,1,,1
Anonymous Gift,70,73,31,,174
Bequest of Adriaan van Ravesteijn,,2,,,2
Carl Jacobs Fund,,1,,,1
Carol and David Appel Family Fund,,1,,,1
Collection of Jane and Robert Kantor,,1,,,1
Committee on Architecture and Design Funds,15,88,12,,115
Committee on Drawings and Prints Fund,1,4,,,5
Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons,,124,,,124
Committee on Film Funds,,1,,,1
Committee on Media and Performance Art Funds,27,14,,,41
Committee on Painting and Sculpture Funds,1,9,,,10
Committee on Painting and Sculpture Funds; anonymous gift (by exchange),,1,,,1
Committee on Photography Fund,21,4,,,25
"Curt Valentin Bequest, gift of the artist and the Department of Publications of The Museum of Modern Art, gift of Mr. and Mrs. Lawrence Saper, and Estate of Ruth Vollmer (all by exchange)",,1,,,1
"Elaine Lustig Cohen Collection, Gift of Lawrence Benenson and the Committee on Architecture and Design Funds",16,543,156,,715
Enid A. Haupt Fund,,1,,,1
Enid A. Haupt Fund and gift of Anne Dias,1,,,,1
Estate of Ruth Vollmer (by exchange),19,,,,19
Frances Keech Fund,4,,,,4
Fund for the Twenty-First Century,2,18,6,,26
Gift from Gra_yna Kulczyk Collection,,1,,,1
Gift of A24 Films,2,2,,,4
Gift of Abby Aldrich Rockefeller (by exchange),,1,,,1
Gift of AG Rosen and Deborah Sonzogni,,10,,,10
Gift of Agnes Gund in honor of David Rockefeller on his 100th birthday,1,,,,1
"Gift of Alan Cristea Gallery, London, in honor of Alan Cristea",5,15,,,20
Gift of Alexandra Herzan from the Collection of Lily Auchincloss (by exchange),,1,,,1
"Gift of Alfred H. Barr, Jr.",,1,,,1
Gift of Alice Tisch,,1,,,1
Gift of Allison Collins,,3,,,3
Gift of Ana Diaz de Tenreiro,,9,,,9
Gift of Anderson Todd,,3,,,3
Gift of Anja Picelj-Kosak,,11,,,11
"Gift of AWI, Australian Wool Innovation Ltd.",,1,,,1
Gift of Beth Swofford,,1,,,1
Gift of Bjarke Ingels Group,,,2,,2
Gift of Charles Isaacs and Carol Nigro in memory of John Szarkowski,,,1,,1
Gift of David and Peggy Rockefeller,,4,,,4
Gift of David Erlij,,1,,,1
Gift of David Platzker,,5,,,5
Gift of David Platzker and Susan Inglett,2,1,,,3
"Gift of David S. Orentreich, MD",,1,,,1
Gift of Demisch Danant,1,,,,1
Gift of DIVEDCO (División de Educación de la Comunidad de Puerto Rico),1,,,,1
Gift of Donald B. Marron,1,,,,1
Gift of Dorothy C. Hudgins in memory of William R. Hudgins,,1,,,1
Gift of Dr. Irwin Berman in memory of his wife Linda Berman,,1,,,1
Gift of Dr. Martin Nash,1,,,,1
Gift of Dr. Mathias Boehringer,,1,,,1
Gift of Dr. Samuel Mandel (by exchange),8,11,,,19
"Gift of Dr. Samuel Mandel, Nina and Gordon Bunshaft Bequest, gift of Mrs. Len Houzer, and gift of Sue and Edgar Wachenheim III (all by exchange)",3,4,,,7
Gift of Elaine Lustig Cohen,,2,,,2
Gift of Eva and Glenn Dubin,,1,,,1
Gift of Fabiola Alondra,,1,,,1
Gift of Gaspar Gasparian Filho,,,1,,1
Gift of Gisela Capitain in honor of Ann Temkin and Roxana Marcoci,,1,,,1
Gift of Graciela and Neal Meltzer in honor of the artist,,17,,,17
Gift of Gwen and Peter Norton,1,,,,1
Gift of Hansjörg Mayer,,4,,,4
Gift of Helen Kornblum in honor of Roxana Marcoci,2,,,,2
Gift of Helen Miranda Wilson,1,,,,1
Gift of Jacob and Yael Samuel,7,135,,,142
Gift of Jacob and Yael Samuel in honor of Amanda Sloan Weinrib,,10,,,10
Gift of Jacob and Yael Samuel in honor of Chad Feldheimer,,13,,,13
Gift of Jacob and Yael Samuel in honor of Dr. Eudora Nesbitt Fletcher,,7,,,7
Gift of Jacob and Yael Samuel in honor of Dr. Lee Sussman,,9,,,9
Gift of Jacob and Yael Samuel in honor of Elsbieta von Espy,,7,,,7
Gift of Jacob and Yael Samuel in honor of Frederick Riedenschneider,,8,,,8
Gift of Jacob and Yael Samuel in honor of Jane Cook,7,,,,7
Gift of Jacob and Yael Samuel in honor of Marva Munson,,12,,,12
Gift of Jacob and Yael Samuel in honor of Sy Abelman,,19,,,19
Gift of Jacob and Yael Samuel in honor of Theodore D. Kerabatsos,11,,,,11
Gift of Jacob and Yael Samuel in honor of Victor Tenetta,,9,,,9
"Gift of Jaime Davidovich and Henrique Faria Fine Art, New York",,1,,,1
Gift of Jan Christiaan Braun in honor of Agnes Gund and Marie-Josée Kravis in appreciation of their extraordinary leadership and dedication to The Museum of Modern Art,,1,,,1
"Gift of Jan Christiaan Braun in honor of Agnes Gund and Marie-Josée Kravis in appreciation of their extraordinary leadership and dedication to The Museum of Modern Art, New York",,1,,,1
Gift of Jill A. Wiltse and H. Kirk Brown III,9,2,,,11
Gift of Jo Carole and Ronald S. Lauder,,1,1,,2
"Gift of Jo Carole and Ronald S. Lauder, Alice and Tom Tisch, Sid Bass, USM Fondation, and Committee of Architecture and Design Fund",4,,,,4
Gift of Joaquim Paiva through the Latin American and Caribbean Fund,,1,,,1
Gift of John Baldessari,14,,,,14
Gift of Judith Rodrigo and Miguel Rodrigo Pérez-Aranibar,,1,,,1
Gift of Jürgen Brüning Productions,,8,,,8
Gift of Katherine Farley and Jerry Speyer,,1,,,1
Gift of Kre_imir Penavi_,,19,,,19
Gift of Kresimir Penovic,,13,,,13
Gift of Lawrence Luhring,,2,,,2
Gift of Lawrence Wolfson,,3,,,3
Gift of Lonti Ebers,1,,,,1
Gift of Marie-Josée and Henry R. Kravis,1,1,,,2
Gift of Marie-Josée and Henry R. Kravis in honor of Jerry I. Speyer,,1,,,1
Gift of Marlene Hess and James D. Zirin,,1,,,1
Gift of Martina Yamin,1,,,,1
Gift of Michael and Philippa Straus in honor of Sally and Wynn Kramarsky,,1,,,1
Gift of Michael Ovitz,,1,,,1
Gift of Mimi Haas,,1,,,1
Gift of Mimi Haas in honor of Marie-Josée Kravis,,1,,,1
Gift of Mirko Ili_,,6,1,,7
Gift of Mr. and Mrs. Lawrence Saper (by exchange),,17,,,17
Gift of Mr. and Mrs. Martin Segal in honor of Agnes Gund,,1,,,1
Gift of Mr. and Mrs. Roy S. O'Connor,,1,,,1
"Gift of Mrs. Donald B. Straus, Estate of Ruth Vollmer, gift of Abby Aldrich Rockefeller, Henry Church Fund, D. S. and R. H. Gottesman Foundation Fund, gift of Robert Motherwell, and gift of Wolfgang Wittrock (all by exchange)",,1,,,1
Gift of Mrs. Donald Straus (by exchange),,1,,,1
Gift of Mrs. Gloria Finn in memory of Greta Daniel; Gift of Philip L. Goodwin; and Gift of Mr. and Mrs. David Kluger (all by exchange),,1,,,1
Gift of Nokia,,,3,,3
Gift of Oscilloscope Laboratories,,3,,,3
Gift of Pamela and Michael Murray,,1,,,1
Gift of Patricia Phelps de Cisneros through the Latin American and Caribbean Fund in memory of Dr. Enrique Pérez Olivares,,1,,,1
Gift of Paul F. Walter,,1,,,1
Gift of Peter J. Cohen,,1,,,1
Gift of Phyllis Andersen in memory of her husband Wayne Andersen,,13,,,13
Gift of Richard and Heidi Rieger,6,,,,6
Gift of Robert B. Menschel,,1,,,1
Gift of Robert R. Littman,,1,,,1
Gift of Rona and Richard Roob,3,2,,,5
Gift of Samuel I. Rosenman and gift of Mr. and Mrs. Richard Rodgers (both by exchange),1,,,,1
"Gift of Sheila Hicks, Glen Raven Inc., and Sikkema Jenkins and Co.",1,,,,1
Gift of Stephen F. Dull,,1,,,1
"Gift of Susan and Arthur Fleischer, Jr.",1,11,,,12
Gift of Susan and Peter MacGill,,11,,,11
Gift of Takeo Obayashi,,1,,,1
Gift of the architect,,26,2,,28
Gift of the architects,,,1,,1
Gift of the artist,22,48,,,70
Gift of the artist and David Castillo Gallery,,1,,,1
Gift of the Artist and The Andrea Frank Trust,,31,,,31
Gift of the artist's estate,,4,,,4
"Gift of The Brant Foundation, Inc., Agnes Gund, Jerry I. Speyer and Katherine Farley, Michael Ovitz, and Adam Kimmel",,1,,,1
Gift of the Circulo de Cultura Cubana Inc,,1,,,1
Gift of the Circulo de Cultura Cubana Inc.,,19,2,,21
Gift of the Contemporary Arts Council of the Museum of Modern Art,,,1,,1
Gift of the designer,34,30,,,64
Gift of the designers,,1,,,1
Gift of the Estate of David Teiger,,1,,,1
Gift of the Estate of Fred Stein,,3,,,3
Gift of the Estate of Fred W. McDarrah,,29,,,29
Gift of The Estate of Thomas Chimes and Locks Gallery,,1,,,1
Gift of the Hicks Family in honor of the artist's 80th birthday,1,,,,1
Gift of the manufacturer,,2,1,,3
"Gift of the Morrison-Shearer Foundation, Northbrook, Il.",1,,,,1
"Gift of the Museum of Architecture and Design, Ljubljana, Slovenia",3,,,,3
Gift of The Riklis Collection of McCrory Corporation and Mrs. Cornelius J. Sullivan Fund (both by exchange),1,,,,1
"Gift of the Steven and Alexandra Cohen Foundation, Eugenio Lopez Alonso, and Committee on Painting and Sculpture Funds",1,,,,1
Gift of the VIA Art Fund,,1,,,1
Gift of Ulrich Loock,,3,,,3
Gift of Warner Bros.,,1,,,1
Gift of Wendy Fisher and A4 Arts Foundation,,1,,,1
Gift of Wrong for Hay,,1,,,1
Gift of Yumiko Ohchi,,4,,,4
"Grace M. Mayer Bequest, and gift of the Ian Woodner Family Collection (all by exchange)",,1,,,1
Grace Rainey Rogers Fund (by exchange); Goldberg Contemporary Art Fund,1,,,,1
Grace Rainey Rogers Fund (by exchange); Pat Hearn Acquisition Fund; Gift of the Advisory Committee (by exchange),1,,,,1
Henry Church Fund (by exchange),,1,,,1
Hillman Periodicals Fund (by exchange),,1,,,1
"Jill A. Wiltse and H. Kirk Brown III Collection, Gift of the Committee on Architecture and Design Funds",2,2,,,4
John B. Turner Fund,,4,,,4
John Szarkowski Fund,,3,,,3
Larry Aldrich Fund (by exchange),,1,,,1
"Larry Aldrich Fund, gift of Ralph E. Shikes, gift of Robert Motherwell (all by exchange)
",,1,,,1
Latin American and Caribbean Fund,1,21,1,,23
Patricia Orden Memorial Fund for Contemporary Drawing,,1,,,1
Photography Purchase Fund,,2,,,2
Purchase,,72,,,72
Purchase (by exchange),,1,,,1
Purchase and Enid A. Haupt Fund (by exchange),,1,,,1
"Purchase from Gallery. Funded in part by The Contemporary Arts Council of The Museum of Modern Art
",,,23,,23
